SampleNumber,value,Unit,Wday,Day,Month,Year,Hour,Date,DateTime
115,6.66,Gbps,Mon,15,8,2016,4:30:00,15/8/2016,8/15/2016 4:30
116,6.44,Gbps,Mon,15,8,2016,4:45:00,15/8/2016,8/15/2016 4:45
117,6.11,Gbps,Mon,15,8,2016,5:00:00,15/8/2016,8/15/2016 5:00
118,5.77,Gbps,Mon,15,8,2016,5:15:00,15/8/2016,8/15/2016 5:15
119,5.27,Gbps,Mon,15,8,2016,5:30:00,15/8/2016,8/15/2016 5:30
120,4.99,Gbps,Mon,15,8,2016,5:45:00,15/8/2016,8/15/2016 5:45
121,4.7,Gbps,Mon,15,8,2016,6:00:00,15/8/2016,8/15/2016 6:00
122,4.62,Gbps,Mon,15,8,2016,6:15:00,15/8/2016,8/15/2016 6:15
123,4.58,Gbps,Mon,15,8,2016,6:30:00,15/8/2016,8/15/2016 6:30
124,4.55,Gbps,Mon,15,8,2016,6:45:00,15/8/2016,8/15/2016 6:45
125,4.61,Gbps,Mon,15,8,2016,7:00:00,15/8/2016,8/15/2016 7:00
126,4.82,Gbps,Mon,15,8,2016,7:15:00,15/8/2016,8/15/2016 7:15
127,5.02,Gbps,Mon,15,8,2016,7:30:00,15/8/2016,8/15/2016 7:30
128,5.24,Gbps,Mon,15,8,2016,7:45:00,15/8/2016,8/15/2016 7:45
129,5.48,Gbps,Mon,15,8,2016,8:00:00,15/8/2016,8/15/2016 8:00
130,5.85,Gbps,Mon,15,8,2016,8:15:00,15/8/2016,8/15/2016 8:15
131,6.17,Gbps,Mon,15,8,2016,8:30:00,15/8/2016,8/15/2016 8:30
132,6.48,Gbps,Mon,15,8,2016,8:45:00,15/8/2016,8/15/2016 8:45
133,6.83,Gbps,Mon,15,8,2016,9:00:00,15/8/2016,8/15/2016 9:00
134,7.34,Gbps,Mon,15,8,2016,9:15:00,15/8/2016,8/15/2016 9:15
135,7.61,Gbps,Mon,15,8,2016,9:30:00,15/8/2016,8/15/2016 9:30
136,7.89,Gbps,Mon,15,8,2016,9:45:00,15/8/2016,8/15/2016 9:45
137,8.17,Gbps,Mon,15,8,2016,10:00:00,15/8/2016,8/15/2016 10:00
138,8.56,Gbps,Mon,15,8,2016,10:15:00,15/8/2016,8/15/2016 10:15
139,8.82,Gbps,Mon,15,8,2016,10:30:00,15/8/2016,8/15/2016 10:30
140,8.98,Gbps,Mon,15,8,2016,10:45:00,15/8/2016,8/15/2016 10:45
141,9.28,Gbps,Mon,15,8,2016,11:00:00,15/8/2016,8/15/2016 11:00
142,9.53,Gbps,Mon,15,8,2016,11:15:00,15/8/2016,8/15/2016 11:15
143,9.78,Gbps,Mon,15,8,2016,11:30:00,15/8/2016,8/15/2016 11:30
144,9.95,Gbps,Mon,15,8,2016,11:45:00,15/8/2016,8/15/2016 11:45
145,10.1,Gbps,Mon,15,8,2016,12:00:00,15/8/2016,8/15/2016 12:00
146,10.11,Gbps,Mon,15,8,2016,12:15:00,15/8/2016,8/15/2016 12:15
147,10.16,Gbps,Mon,15,8,2016,12:30:00,15/8/2016,8/15/2016 12:30
148,10.54,Gbps,Mon,15,8,2016,12:45:00,15/8/2016,8/15/2016 12:45
149,10.75,Gbps,Mon,15,8,2016,13:00:00,15/8/2016,8/15/2016 13:00
150,10.97,Gbps,Mon,15,8,2016,13:15:00,15/8/2016,8/15/2016 13:15
151,11.13,Gbps,Mon,15,8,2016,13:30:00,15/8/2016,8/15/2016 13:30
152,11.13,Gbps,Mon,15,8,2016,13:45:00,15/8/2016,8/15/2016 13:45
153,11.19,Gbps,Mon,15,8,2016,14:00:00,15/8/2016,8/15/2016 14:00
154,11.36,Gbps,Mon,15,8,2016,14:15:00,15/8/2016,8/15/2016 14:15
155,11.29,Gbps,Mon,15,8,2016,14:30:00,15/8/2016,8/15/2016 14:30
156,11.3,Gbps,Mon,15,8,2016,14:45:00,15/8/2016,8/15/2016 14:45
157,11.34,Gbps,Mon,15,8,2016,15:00:00,15/8/2016,8/15/2016 15:00
158,11.33,Gbps,Mon,15,8,2016,15:15:00,15/8/2016,8/15/2016 15:15
159,11.25,Gbps,Mon,15,8,2016,15:30:00,15/8/2016,8/15/2016 15:30
160,11.08,Gbps,Mon,15,8,2016,15:45:00,15/8/2016,8/15/2016 15:45
161,10.82,Gbps,Mon,15,8,2016,16:00:00,15/8/2016,8/15/2016 16:00
162,10.87,Gbps,Mon,15,8,2016,16:15:00,15/8/2016,8/15/2016 16:15
163,10.95,Gbps,Mon,15,8,2016,16:30:00,15/8/2016,8/15/2016 16:30
164,10.97,Gbps,Mon,15,8,2016,16:45:00,15/8/2016,8/15/2016 16:45
165,10.95,Gbps,Mon,15,8,2016,17:00:00,15/8/2016,8/15/2016 17:00
166,10.92,Gbps,Mon,15,8,2016,17:15:00,15/8/2016,8/15/2016 17:15
167,10.98,Gbps,Mon,15,8,2016,17:30:00,15/8/2016,8/15/2016 17:30
168,11.01,Gbps,Mon,15,8,2016,17:45:00,15/8/2016,8/15/2016 17:45
169,10.97,Gbps,Mon,15,8,2016,18:00:00,15/8/2016,8/15/2016 18:00
170,11.03,Gbps,Mon,15,8,2016,18:15:00,15/8/2016,8/15/2016 18:15
171,11.1,Gbps,Mon,15,8,2016,18:30:00,15/8/2016,8/15/2016 18:30
172,10.9,Gbps,Mon,15,8,2016,18:45:00,15/8/2016,8/15/2016 18:45
173,10.74,Gbps,Mon,15,8,2016,19:00:00,15/8/2016,8/15/2016 19:00
174,10.87,Gbps,Mon,15,8,2016,19:15:00,15/8/2016,8/15/2016 19:15
175,10.99,Gbps,Mon,15,8,2016,19:30:00,15/8/2016,8/15/2016 19:30
176,11.25,Gbps,Mon,15,8,2016,19:45:00,15/8/2016,8/15/2016 19:45
177,11.27,Gbps,Mon,15,8,2016,20:00:00,15/8/2016,8/15/2016 20:00
178,11.23,Gbps,Mon,15,8,2016,20:15:00,15/8/2016,8/15/2016 20:15
179,11.32,Gbps,Mon,15,8,2016,20:30:00,15/8/2016,8/15/2016 20:30
180,11.6,Gbps,Mon,15,8,2016,20:45:00,15/8/2016,8/15/2016 20:45
181,12.01,Gbps,Mon,15,8,2016,21:00:00,15/8/2016,8/15/2016 21:00
182,12.13,Gbps,Mon,15,8,2016,21:15:00,15/8/2016,8/15/2016 21:15
183,12.08,Gbps,Mon,15,8,2016,21:30:00,15/8/2016,8/15/2016 21:30
184,12.12,Gbps,Mon,15,8,2016,21:45:00,15/8/2016,8/15/2016 21:45
